metric,metric_source,parameter,parameter_value,baseline_parameter_value,temperature_low,temperature_high,difference_in_differences,se_across_prompts,ci95_low,ci95_high,n_prompts
tokens_per_second,direct_generation,top_p,0.9,0.6,0.1,1.5,-0.0552153465299591,0.12775021589165367,-0.3119390169237405,0.2015083238638223,50
tokens_per_second,direct_generation,top_p,0.95,0.6,0.1,1.5,-0.023996753439221835,0.12106995709901662,-0.267295941185705,0.21930243430726132,50
word_length,direct_generation,top_p,0.8,0.6,0.1,1.5,0.8200000000000002,0.41255282902277357,-0.009055949211778547,1.649055949211779,50
word_length,direct_generation,top_p,0.9,0.6,0.1,1.5,0.8480000000000001,0.5612068628029622,-0.279787414395819,1.9757874143958192,50
word_length,direct_generation,top_p,0.95,0.6,0.1,1.5,1.0064,0.5377472101655352,-0.07424347738399217,2.0870434773839923,50
stopped_early_on_eos,direct_generation,top_p,0.8,0.6,0.1,1.5,-0.044800000000000006,0.0200778891483408,-0.08514802884633155,-0.004451971153668466,50
stopped_early_on_eos,direct_generation,top_p,0.9,0.6,0.1,1.5,-0.08,0.020634822954591753,-0.12146722923209359,-0.03853277076790641,50
stopped_early_on_eos,direct_generation,top_p,0.95,0.6,0.1,1.5,-0.11200000000000002,0.02113513372446506,-0.15447264136610006,-0.06952735863389996,50
unique_answer_rate,direct_generation,top_p,0.8,0.6,0.1,1.5,0.0952,0.022968016804207698,0.04904404218429597,0.14135595781570404,50
unique_answer_rate,direct_generation,top_p,0.9,0.6,0.1,1.5,0.14,0.028599985728553594,0.08252617689764907,0.19747382310235095,50
unique_answer_rate,direct_generation,top_p,0.95,0.6,0.1,1.5,0.14559999999999998,0.0360636172588929,0.07312744779522215,0.2180725522047778,50
pairwise_token_jaccard_distance,direct_generation,top_p,0.8,0.6,0.1,1.5,0.06876636504472483,0.024793191519308182,0.018942581318120447,0.11859014877132922,50
pairwise_token_jaccard_distance,direct_generation,top_p,0.9,0.6,0.1,1.5,0.12316452574865062,0.02918830033268705,0.06450844018619159,0.18182061131110966,50
pairwise_token_jaccard_distance,direct_generation,top_p,0.95,0.6,0.1,1.5,0.12733602711505695,0.034648668642780406,0.05770692061102908,0.19696513361908483,50
corpus_distinct_1,direct_generation,top_p,0.8,0.6,0.1,1.5,0.08656400939018606,0.015179660480725913,0.05605933958008994,0.11706867920028219,50
corpus_distinct_1,direct_generation,top_p,0.9,0.6,0.1,1.5,0.15479935999523994,0.02023757529621804,0.11413042982042174,0.19546829017005815,50
corpus_distinct_1,direct_generation,top_p,0.95,0.6,0.1,1.5,0.20930046653058165,0.023950499998486658,0.161170134816759,0.25743079824440435,50
correctness,provisional_qwen3_nf4,top_k,15.0,10.0,0.1,1.5,-0.01759999999999999,0.009858426417464981,-0.037411249605598336,0.0022112496055983547,50
correctness,provisional_qwen3_nf4,top_k,20.0,10.0,0.1,1.5,0.011600000000000006,0.010918473392580565,-0.010341493756984371,0.033541493756984384,50
correctness,provisional_qwen3_nf4,top_k,25.0,10.0,0.1,1.5,0.002000000000000006,0.013964970754114212,-0.026063659414701953,0.030063659414701963,50
correctness,provisional_qwen3_nf4,top_k,30.0,10.0,0.1,1.5,0.009600000000000011,0.015462819132040706,-0.021473698423957226,0.04067369842395725,50
strict_accuracy,provisional_qwen3_nf4,top_k,15.0,10.0,0.1,1.5,-0.023199999999999995,0.011490688333052416,-0.04629140273167198,-0.00010859726832800412,50
strict_accuracy,provisional_qwen3_nf4,top_k,20.0,10.0,0.1,1.5,0.0007999999999999991,0.012751438494282494,-0.024824975035886654,0.02642497503588665,50
strict_accuracy,provisional_qwen3_nf4,top_k,25.0,10.0,0.1,1.5,-0.004799999999999999,0.01421192370899183,-0.03335992995755992,0.023759929957559916,50
strict_accuracy,provisional_qwen3_nf4,top_k,30.0,10.0,0.1,1.5,-3.3306690738754695e-18,0.016912741242227133,-0.033987425992354055,0.033987425992354055,50
informativeness,provisional_qwen3_nf4,top_k,15.0,10.0,0.1,1.5,-0.009600000000000004,0.007062172874851317,-0.023791967729627023,0.004591967729627012,50
informativeness,provisional_qwen3_nf4,top_k,20.0,10.0,0.1,1.5,0.002399999999999992,0.00891025549921126,-0.015505828807709583,0.020305828807709567,50
informativeness,provisional_qwen3_nf4,top_k,25.0,10.0,0.1,1.5,0.0019999999999999957,0.008985248682009365,-0.01605653325081416,0.02005653325081415,50
informativeness,provisional_qwen3_nf4,top_k,30.0,10.0,0.1,1.5,-0.007400000000000009,0.009002539324308133,-0.025491280097411827,0.010691280097411807,50
within_answer_distinct_1,direct_generation,top_k,15.0,10.0,0.1,1.5,0.0006352284857559454,0.0018583768614865615,-0.003099319636341403,0.0043697766078532934,50
within_answer_distinct_1,direct_generation,top_k,20.0,10.0,0.1,1.5,-0.002141969033537734,0.0017407071478187063,-0.005640051012888073,0.0013561129458126045,50
within_answer_distinct_1,direct_generation,top_k,25.0,10.0,0.1,1.5,-0.0021366285923705153,0.0018483711677403079,-0.0058510695200850935,0.001577812335344063,50
within_answer_distinct_1,direct_generation,top_k,30.0,10.0,0.1,1.5,0.0018271232714452013,0.0017673989134460672,-0.001724597819145139,0.005378844362035541,50
within_answer_distinct_2,direct_generation,top_k,15.0,10.0,0.1,1.5,0.0020166370012103425,0.009367426592116685,-0.016807911513933287,0.02084118551635397,50
within_answer_distinct_2,direct_generation,top_k,20.0,10.0,0.1,1.5,0.016261495215192306,0.009190622262383055,-0.002207751697101388,0.034730742127486,50
within_answer_distinct_2,direct_generation,top_k,25.0,10.0,0.1,1.5,0.01227663765722887,0.010593112093726948,-0.009011018090459075,0.03356429340491682,50
within_answer_distinct_2,direct_generation,top_k,30.0,10.0,0.1,1.5,0.015501330652195066,0.010001558090947264,-0.004597552820082142,0.03560021412447227,50
trigram_repetition_rate,direct_generation,top_k,15.0,10.0,0.1,1.5,-0.00034369493478188603,0.00020176501058948333,-0.0007491569037816304,6.176703421785837e-05,50
trigram_repetition_rate,direct_generation,top_k,20.0,10.0,0.1,1.5,-3.748246078574799e-05,9.427826365448302e-05,-0.00022694172482533865,0.00015197680325384266,50
trigram_repetition_rate,direct_generation,top_k,25.0,10.0,0.1,1.5,-0.00024602512913171804,0.00020869126984140204,-0.0006654059372100556,0.0001733556789466195,50
trigram_repetition_rate,direct_generation,top_k,30.0,10.0,0.1,1.5,4.034164388021601e-05,0.0002985054037816605,-0.0005595274237086737,0.0006402107114691057,50
model_generation_latency_seconds,direct_generation,top_k,15.0,10.0,0.1,1.5,0.00043984357770532226,0.008677806463617205,-0.016998861404179867,0.017878548559590514,50
model_generation_latency_seconds,direct_generation,top_k,20.0,10.0,0.1,1.5,0.025843106143921615,0.011659804448638802,0.002411851854167736,0.049274360433675495,50
model_generation_latency_seconds,direct_generation,top_k,25.0,10.0,0.1,1.5,0.019981237975507982,0.011545503185152517,-0.003220319325571274,0.043182795276587235,50
model_generation_latency_seconds,direct_generation,top_k,30.0,10.0,0.1,1.5,0.008211453565768898,0.008279699053381079,-0.00842722462278812,0.024850131754325915,50
tokens_per_second,direct_generation,top_k,15.0,10.0,0.1,1.5,0.04981787662630481,0.15881724593992816,-0.269337328043639,0.3689730812962487,50
tokens_per_second,direct_generation,top_k,20.0,10.0,0.1,1.5,-0.03315758080369932,0.15590607776345464,-0.3464625739950833,0.2801474123876846,50
tokens_per_second,direct_generation,top_k,25.0,10.0,0.1,1.5,-0.22145480522000624,0.1630769713342282,-0.549170248559306,0.10626063811929351,50
tokens_per_second,direct_generation,top_k,30.0,10.0,0.1,1.5,0.1490918092614777,0.15249831668877015,-0.1573650316601674,0.4555486501831228,50
word_length,direct_generation,top_k,15.0,10.0,0.1,1.5,-0.12800000000000009,0.29129184467731023,-0.7133728778412194,0.45737287784121916,50
word_length,direct_generation,top_k,20.0,10.0,0.1,1.5,0.7096000000000002,0.3410826651851364,0.024168722229906847,1.3950312777700935,50
word_length,direct_generation,top_k,25.0,10.0,0.1,1.5,0.19440000000000013,0.3718643772964019,-0.5528894441853337,0.941689444185334,50
word_length,direct_generation,top_k,30.0,10.0,0.1,1.5,0.05920000000000007,0.2730573446538066,-0.4895292781325537,0.6079292781325538,50
stopped_early_on_eos,direct_generation,top_k,15.0,10.0,0.1,1.5,-0.008800000000000002,0.0074320870801778795,-0.02373533815651362,0.006135338156513615,50
stopped_early_on_eos,direct_generation,top_k,20.0,10.0,0.1,1.5,-0.0216,0.009576160877035073,-0.0408440157652555,-0.0023559842347445,50
stopped_early_on_eos,direct_generation,top_k,25.0,10.0,0.1,1.5,-0.0184,0.008336592559925434,-0.035153009970462,-0.0016469900295379945,50
stopped_early_on_eos,direct_generation,top_k,30.0,10.0,0.1,1.5,-0.025600000000000015,0.010583622311122493,-0.046868585315560304,-0.004331414684439722,50
unique_answer_rate,direct_generation,top_k,15.0,10.0,0.1,1.5,0.011199999999999996,0.012676959656102443,-0.01427530420698987,0.03667530420698986,50
unique_answer_rate,direct_generation,top_k,20.0,10.0,0.1,1.5,0.024000000000000004,0.010222025039999038,0.0034580716063029177,0.04454192839369709,50
unique_answer_rate,direct_generation,top_k,25.0,10.0,0.1,1.5,0.03919999999999999,0.013351878259676594,0.012368396080189668,0.06603160391981032,50
unique_answer_rate,direct_generation,top_k,30.0,10.0,0.1,1.5,0.025599999999999998,0.011414848904396589,0.0026610023061527863,0.04853899769384721,50
pairwise_token_jaccard_distance,direct_generation,top_k,15.0,10.0,0.1,1.5,0.01218426874465083,0.0142252176006732,-0.01640237628843704,0.040770913777738706,50
pairwise_token_jaccard_distance,direct_generation,top_k,20.0,10.0,0.1,1.5,0.019979541899231262,0.012867160621927881,-0.00587798545875947,0.045837069257221995,50
pairwise_token_jaccard_distance,direct_generation,top_k,25.0,10.0,0.1,1.5,0.030782447506093297,0.013835351577878395,0.002979267578211927,0.05858562743397466,50
pairwise_token_jaccard_distance,direct_generation,top_k,30.0,10.0,0.1,1.5,0.015726890346245387,0.013396940958406578,-0.011195270457050929,0.042649051149541706,50
corpus_distinct_1,direct_generation,top_k,15.0,10.0,0.1,1.5,0.01403980614546061,0.008653677850146726,-0.0033504105722880415,0.03143002286320926,50
corpus_distinct_1,direct_generation,top_k,20.0,10.0,0.1,1.5,0.015740399106558875,0.012975560547544028,-0.010334966057656717,0.041815764270774464,50
corpus_distinct_1,direct_generation,top_k,25.0,10.0,0.1,1.5,0.0307491341633854,0.01214151512777487,0.006349846021378967,0.05514842230539183,50
corpus_distinct_1,direct_generation,top_k,30.0,10.0,0.1,1.5,0.019258349676391714,0.00914927117482301,0.0008722008856870481,0.03764449846709638,50
